filename	icon	color	name
build.gradle		#005f87	GradleBuildScript
settings.gradle		#005f87	GradleSettings
.babelrc		#cbcb41	Babelrc
.bash_profile		#89e051	BashProfile
.bashrc		#89e051	Bashrc
.dockerignore	󰡨	#458ee6	Dockerfile
.ds_store		#41535b	DsStore
.editorconfig		#fff2f2	EditorConfig
.env		#faf743	Env
.eslintrc		#4b32c3	Eslintrc
.eslintignore		#4b32c3	EslintIgnore
.git-blame-ignore-revs		#f54d27	GitBlameIgnore
.gitattributes		#f54d27	GitAttributes
.gitconfig		#f54d27	GitConfig
.gitignore		#f54d27	GitIgnore
.gitlab-ci.yml		#e24329	GitlabCI
.gitmodules		#f54d27	GitModules
.gtkrc-2.0		#ffffff	GTK
.gvimrc		#019833	Gvimrc
.justfile		#6d8086	Justfile
.luaurc		#00a2ff	Luaurc
.mailmap	󰊢	#f54d27	Mailmap
.npmignore		#E8274B	NPMIgnore
.npmrc		#E8274B	NPMrc
.nuxtrc	󱄆	#00c58e	NuxtConfig
.nvmrc		#5FA04E	node
.prettierrc		#4285F4	PrettierConfig
.prettierrc.json		#4285F4	PrettierConfig
.prettierrc.json5		#4285F4	PrettierConfig
.prettierrc.toml		#4285F4	PrettierConfig
.prettierrc.yaml		#4285F4	PrettierConfig
.prettierrc.yml		#4285F4	PrettierConfig
.prettierignore		#4285F4	PrettierIgnore
.settings.json		#854CC7	SettingsJson
.SRCINFO	󰣇	#0f94d2	SRCINFO
.vimrc		#019833	Vimrc
.Xauthority		#e54d18	Xauthority
.xinitrc		#e54d18	XInitrc
.Xresources		#e54d18	Xresources
.xsession		#e54d18	Xsession
.zprofile		#89e051	Zshprofile
.zshenv		#89e051	Zshenv
.zshrc		#89e051	Zshrc
_gvimrc		#019833	Gvimrc
_vimrc		#019833	Vimrc
R	󰟔	#2266ba	R
avif		#a074c4	Avif
brewfile		#701516	Brewfile
bspwmrc		#2f2f2f	BSPWM
build		#89e051	BazelBuild
checkhealth	󰓙	#75B4FB	Checkhealth
cmakelists.txt		#6d8086	CMakeLists
commit_editmsg		#f54d27	GitCommit
commitlint.config.js	󰜘	#2b9689	CommitlintConfig
commitlint.config.ts	󰜘	#2b9689	CommitlintConfig
compose.yaml	󰡨	#458ee6	Dockerfile
compose.yml	󰡨	#458ee6	Dockerfile
config		#6d8086	Config
containerfile	󰡨	#458ee6	Dockerfile
copying		#cbcb41	License
copying.lesser		#cbcb41	License
docker-compose.yaml	󰡨	#458ee6	Dockerfile
docker-compose.yml	󰡨	#458ee6	Dockerfile
dockerfile	󰡨	#458ee6	Dockerfile
eslint.config.cjs		#4b32c3	Eslintrc
eslint.config.js		#4b32c3	Eslintrc
eslint.config.mjs		#4b32c3	Eslintrc
eslint.config.ts		#4b32c3	Eslintrc
ext_typoscript_setup.txt		#FF8700	TypoScriptSetup
favicon.ico		#cbcb41	Favicon
fp-info-cache		#ffffff	KiCadCache
fp-lib-table		#ffffff	KiCadFootprintTable
FreeCAD.conf		#cb0d0d	FreeCADConfig
gemfile$		#701516	Gemfile
gnumakefile		#6d8086	Makefile
go.mod		#519aba	GoMod
go.sum		#519aba	GoSum
go.work		#519aba	GoWork
gradlew		#005f87	GradleWrapperScript
gradle.properties		#005f87	GradleProperties
gradle-wrapper.properties		#005f87	GradleWrapperProperties
groovy		#4a687c	Groovy
gruntfile.babel.js		#e37933	Gruntfile
gruntfile.coffee		#e37933	Gruntfile
gruntfile.js		#e37933	Gruntfile
gruntfile.ts		#e37933	Gruntfile
gtkrc		#ffffff	GTK
gulpfile.babel.js		#cc3e44	Gulpfile
gulpfile.coffee		#cc3e44	Gulpfile
gulpfile.js		#cc3e44	Gulpfile
gulpfile.ts		#cc3e44	Gulpfile
hypridle.conf		#00aaae	Hypridle
hyprland.conf		#00aaae	Hyprland
hyprlock.conf		#00aaae	Hyprlock
i18n.config.js	󰗊	#7986cb	I18nConfig
i18n.config.ts	󰗊	#7986cb	I18nConfig
i3blocks.conf		#e8ebee	i3
i3status.conf		#e8ebee	i3
ionic.config.json		#4f8ff7	Ionic
cantorrc		#1c99f3	Cantorrc
justfile		#6d8086	Justfile
kalgebrarc		#1c99f3	Kalgebrarc
kdeglobals		#1c99f3	KDEglobals
kdenlive-layoutsrc		#83b8f2	KdenliveLayoutsrc
kdenliverc		#83b8f2	Kdenliverc
kritadisplayrc		#f245fb	Kritadisplayrc
kritarc		#f245fb	Kritarc
license		#d0bf41	License
lxde-rc.xml		#909090	LXDEConfigFile
lxqt.conf		#0192d3	LXQtConfigFile
makefile		#6d8086	Makefile
mix.lock		#a074c4	MixLock
mpv.conf		#3b1342	Mpv
node_modules		#E8274B	NodeModules
nuxt.config.cjs	󱄆	#00c58e	NuxtConfig
nuxt.config.js	󱄆	#00c58e	NuxtConfig
nuxt.config.mjs	󱄆	#00c58e	NuxtConfig
nuxt.config.ts	󱄆	#00c58e	NuxtConfig
package.json		#e8274b	PackageJson
package-lock.json		#7a0d21	PackageLockJson
PKGBUILD		#0f94d2	PKGBUILD
platformio.ini		#f6822b	Platformio
pom.xml		#7a0d21	Maven
prettier.config.js		#4285F4	PrettierConfig
prettier.config.cjs		#4285F4	PrettierConfig
prettier.config.mjs		#4285F4	PrettierConfig
prettier.config.ts		#4285F4	PrettierConfig
procfile		#a074c4	Procfile
PrusaSlicer.ini		#ec6b23	PrusaSlicer
PrusaSlicerGcodeViewer.ini		#ec6b23	PrusaSlicer
py.typed		#ffbc03	Py.typed
QtProject.conf		#40cd52	Qt
r	󰟔	#2266ba	R
rakefile		#701516	Rakefile
rmd		#519aba	Rmd
robots.txt	󰚩	#5d7096	RobotsTxt
svelte.config.js		#ff3e00	SvelteConfig
sxhkdrc		#2f2f2f	BSPWM
sym-lib-table		#ffffff	KiCadSymbolTable
tailwind.config.js	󱏿	#20c2e3	TailwindConfig
tailwind.config.mjs	󱏿	#20c2e3	TailwindConfig
tailwind.config.ts	󱏿	#20c2e3	TailwindConfig
tmux.conf		#14ba19	Tmux
tmux.conf.local		#14ba19	Tmux
tsconfig.json		#519aba	TSConfig
unlicense		#d0bf41	License
vagrantfile$		#1563FF	Vagrantfile
vlcrc	󰕼	#ee7a00	VLC
webpack	󰜫	#519aba	Webpack
weston.ini		#ffbb01	Weston
workspace		#89e051	BazelWorkspace
xmobarrc		#fd4d5d	xmonad
xmobarrc.hs		#fd4d5d	xmonad
xmonad.hs		#fd4d5d	xmonad
xorg.conf		#e54d18	XorgConf
xsettingsd.conf		#e54d18	XSettingsdConf
build.zig.zon		#f69a1b	ZigObjectNotation

