filetype	name
blueprint	blp
commit	commit_editmsg
gemfile	gemfile$
lesser	copying.lesser
vagrantfile	vagrantfile$
clojure	clj
cuda	cu
dosbatch	bat
dosini	ini
drools	drl
elixir	ex
epuppet	epp
erlang	erl
eruby	erb
fennel	fnl
forth	fs
fortran	f90
fsharp	f#
gitconfig	.gitconfig
gitcommit	commit_editmsg
gitignore	.gitignore
gitattributes	.gitattributes
haxe	hx
haskell	hs
idlang	pro
javascript	js
javascript.jsx	jsx
javascriptreact	jsx
julia	jl
kotlin	kt
lhaskell	lhs
lprolog	sig
make	makefile
motoko	mo
node	node_modules
ocaml	ml
openscad	scad
perl	pl
plaintex	tex
postscr	ai
prolog	pro
puppet	pp
python	py
res	rescript
resi	rescript
ruby	rb
rust	rs
scheme	scm
solidity	sol
systemverilog	sv
tads	t
typescript	ts
typescriptreact	tsx
verilog	v
vhdl	vhd
